Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
16moAUuBAvZ347UoqTBf27bykM4jgHgVk6,16moAUuBAvZ347UoqTBf27bykM4jgHgVk6,,Bitcoin Wallet,5,0.270585,0.276318,0,78,0,0,0.000264
1M1rJyAC99JqCypTp29rPacTWgh66ZreQx,1M1rJyAC99JqCypTp29rPacTWgh66ZreQx,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
17r9EMjcrzRHyDpDqWcSscfJ1fkWo4P4q8,17r9EMjcrzRHyDpDqWcSscfJ1fkWo4P4q8,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1BYVZfqaYxDh9VW7f2952PYRPwRyhFpS9g,1BYVZfqaYxDh9VW7f2952PYRPwRyhFpS9g,,Bitcoin Wallet,5,0.278459,0.289381,0,8,0,0,0.00026
1N52wHoVR79PMDishab2XmRHsbekCdGquK,1N52wHoVR79PMDishab2XmRHsbekCdGquK,,Bitcoin Wallet,5,0.271295,0.277528,0,14,0,0,0.000259
12jKWoxxFFuDc8jFnhopG2F96fQLB33voB,12jKWoxxFFuDc8jFnhopG2F96fQLB33voB,,Bitcoin Wallet,5,0.269456,0.274383,0,163,0,0,0.000272
172JuSrA2jEYYXiim7yCT2pcD6Bg4QYvjg,172JuSrA2jEYYXiim7yCT2pcD6Bg4QYvjg,,Bitcoin Wallet,4,0.368778,0.381793,2066,156,0,0,0.000468
1L9fBmGSoxycSiMaN9JHUK7H4wUBLpZs4X,1L9fBmGSoxycSiMaN9JHUK7H4wUBLpZs4X,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
1Cs1JApx7YcssokQRhLCU6dBFT4v4FHpbW,1Cs1JApx7YcssokQRhLCU6dBFT4v4FHpbW,,Bitcoin Wallet,5,0.269527,0.274504,0,19,0,0,0.00027
1M5YqoferZQMsuKfhbgu53K2sraCgCnJbN,1M5YqoferZQMsuKfhbgu53K2sraCgCnJbN,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
12JNiFj8zmhbD6gdF3Fayo9evjAT3vUVgh,12JNiFj8zmhbD6gdF3Fayo9evjAT3vUVgh,,Bitcoin Wallet,4,0.368646,0.381471,0,11,0,0,0.000238
1NoNnYqoXa23AhMKv1iz9L5oGNSt4WdvSM,1NoNnYqoXa23AhMKv1iz9L5oGNSt4WdvSM,,Bitcoin Wallet,5,0.273594,0.281398,0,1,0,0,0.000262
1MFKgLc8CARbPFqMEJtVXdwQf6UwHUBhXG,1MFKgLc8CARbPFqMEJtVXdwQf6UwHUBhXG,,Bitcoin Wallet,5,0.269456,0.274383,0,157,0,0,0.000272
